code,state,pop_est_2014
AL,Alabama,4849377
AK,Alaska,736732
AZ,Arizona,6731484
AR,Arkansas,2966369
CA,California,38802500
CO,Colorado,5355866
CN,Connecticut,3596677
DE,Delaware,935614
DC,District of Columbia,658893
FL,Florida,19893297
GA,Georgia,10097343
HA,Hawaii,1419561
ID,Idaho,1634464
IL,Illinois,12880580
IN,Indiana,6596855
IA,Iowa,3107126
KS,Kansas,2904021
KY,Kentucky,4413457
LA,Louisiana,4649676
ME,Maine,1330089
MD,Maryland,5976407
MA,Massachusetts,6745408
MI,Michigan,9909877
MN,Minnesota,5457173
MS,Mississippi,2994079
MO,Missouri,6063589
MT,Montana,1023579
NE,Nebraska,1881503
NV,Nevada,2839099
NH,New Hampshire,1326813
NJ,New Jersey,8938175
NM,New Mexico,2085572
NY,New York,19746227
NC,North Carolina,9943964
ND,North Dakota,739482
OH,Ohio,11594163
OK,Oklahoma,3878051
OR,Oregon,3970239
PA,Pennsylvania,12787209
RI,Rhode Island,1055173
SC,South Carolina,4832482
SD,South Dakota,853175
TN,Tennessee,6549352
TX,Texas,26956958
UT,Utah,2942902
VT,Vermont,626562
VA,Virginia,8326289
WA,Washington,7061530
WV,West Virginia,1850326
WI,Wisconsin,5757564
WY,Wyoming,584153
